,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,cluster_id
72,3130,20,320,2.436183294232425,3.6273976310770704,6.569343065693432,304,332,0
73,3184,20,91,11.657924438598256,11.657924438598256,11.657924438598256,289,362,0
74,3342,100,300,1.6687074458953657,3.0995117729009243,5.8422157596366295,370,364,0
75,3354,100,572,2.275019899401712,4.956775770363624,7.638531641325537,289,343,0
76,3456,100,364,5.114257128317715,5.114257128317715,5.114257128317715,289,326,0
77,3511,20,216,3.0842316931031584,17.254540157448098,31.42484862179305,379,326,1
78,3622,100,1599,1.002988342108578,3.6403148819594944,7.282518566029631,380,334,0
79,3645,100,570,4.376088151293683,5.616912153409497,8.086350532617999,356,346,0
80,3651,20,42,1.0475656017578483,3.74923933057041,9.742923287382153,362,363,0
81,3736,100,780,2.539120616523936,3.6009470041187948,4.509242420727358,334,325,0
82,3737,20,63,3.0631068184928627,4.792764601894149,6.522422385295433,348,374,0
83,3740,20,240,3.18688719599549,5.5962438187476575,7.511011876914066,339,368,0
84,3743,20,203,2.196026152894708,4.487118235134552,8.692838829924153,327,371,0
85,3747,20,252,5.8394160583941614,6.944683940316047,8.479996182248096,370,331,0
86,3757,20,255,5.558958471433511,8.979099245585447,12.564711390172839,365,334,0
87,3767,100,408,2.885249003225536,4.855736212405229,7.098628499999332,288,344,0
88,3779,100,230,9.609275881393526,9.609275881393526,9.609275881393526,293,361,0
89,3784,100,196,1.6441676305145512,6.693088416053736,30.595885680979038,356,359,0
90,3801,20,234,1.9918500878494296,3.3841326060867427,4.573660169594891,364,370,0
91,3803,100,80,1.898273238084692,4.352275582789089,9.511517838276532,361,369,0
92,3806,20,434,3.355704697986577,7.750768576418006,11.769719340581824,330,335,0
93,3817,20,108,4.0,4.772348761742992,6.061847931051542,363,348,0
94,3829,20,57,2.8861501272920305,4.723348898719512,7.778423251540325,345,367,0
95,3842,100,540,1.8486451795726733,3.4413046752756684,4.6584749531245615,379,374,0
96,3854,20,162,2.0951312035156966,4.3188185520353635,5.6480898981063845,317,325,0
97,3856,20,60,0.7407407407407408,3.3968487394458697,6.188723213699732,348,334,0
98,3861,100,406,4.392052305789416,6.918132992888322,8.955418513892097,371,359,0
99,3887,20,408,2.2222222222222223,3.305647730788148,3.9666339420716334,331,324,0
100,3888,20,735,1.552824984374854,4.296626879837572,7.363574011458174,292,334,0
101,4026,20,1216,8.70136394870949,8.70136394870949,8.70136394870949,312,332,0
102,4039,20,5250,2.127659574468085,4.404263935299231,6.680868296130379,291,325,1
103,4061,20,6720,3.337414891790732,7.893457049146758,19.87093575476768,374,329,1
104,4080,20,1147,4.446614053772811,5.900170334830237,6.779076806833005,293,328,0
105,4106,20,858,7.136853479562394,8.996459850361623,10.856066221160855,300,329,0
106,4108,20,667,0.6802721088435374,8.762394689781685,20.645453465300662,311,350,0
107,4116,20,286,2.6127183155536158,5.382059297728355,7.503583817113388,329,325,0
108,4118,20,272,11.02445179947524,11.039364104969414,11.054276410463586,289,337,0
